"Tabela 7268 - Pessoas de 14 anos ou mais de idade por cor ou raça e nível de instrução"
"Variável - Pessoas de 14 anos ou mais de idade (Mil pessoas)"
"Unidade da Federação";"Nível de instrução";"Ano x Cor ou raça"
"Unidade da Federação";"Nível de instrução";"2016";;;"2017";;;"2018";;;"2019";;;"2022";;;"2023"
"Unidade da Federação";"Nível de instrução";"Total";"Branca";"Preta ou parda";"Total";"Branca";"Preta ou parda";"Total";"Branca";"Preta ou parda";"Total";"Branca";"Preta ou parda";"Total";"Branca";"Preta ou parda";"Total";"Branca";"Preta ou parda"
"São Paulo";"Médio completo ou equivalente e superior incompleto";"13526";"8658";"4653";"13888";"8409";"5292";"14142";"8202";"5702";"14521";"8234";"6043";"15136";"8428";"6452";"15119";"8365";"6495"
"São Paulo";"Superior completo";"6376";"5194";"922";"6592";"5220";"1115";"6602";"5149";"1191";"7098";"5409";"1442";"8042";"6046";"1732";"8121";"6006";"1812"
"Paraná";"Total";"8982";"6131";"2742";"9072";"6102";"2855";"9139";"6068";"2970";"9194";"5858";"3211";"9427";"5977";"3352";"9588";"6124";"3348"
"Paraná";"Sem instrução e fundamental incompleto ou equivalente";"3156";"1928";"1197";"3204";"1940";"1244";"3180";"1880";"1274";"3026";"1672";"1322";"2912";"1632";"1254";"2874";"1605";"1240"
"Paraná";"Fundamental completo e médio incompleto ou equivalente";"1757";"1137";"604";"1744";"1091";"634";"1646";"1000";"633";"1683";"985";"683";"1715";"978";"725";"1692";"979";"694"
"Paraná";"Médio completo ou equivalente e superior incompleto";"2775";"1976";"772";"2847";"2001";"811";"2928";"2025";"864";"3012";"2006";"955";"3202";"2100";"1074";"3361";"2233";"1096"
"Paraná";"Superior completo";"1293";"1090";"170";"1278";"1071";"166";"1387";"1163";"199";"1473";"1195";"251";"1598";"1266";"299";"1661";"1308";"318"
"Santa Catarina";"Total";"5698";"4929";"750";"5791";"4867";"906";"5914";"4770";"1114";"6019";"4880";"1099";"6301";"4976";"1285";"6429";"4996";"1396"
"Santa Catarina";"Sem instrução e fundamental incompleto ou equivalente";"1957";"1628";"322";"1918";"1542";"372";"1901";"1483";"408";"1862";"1436";"414";"1778";"1339";"426";"1811";"1368";"433"
"Santa Catarina";"Fundamental completo e médio incompleto ou equivalente";"1183";"987";"192";"1130";"907";"219";"1158";"877";"277";"1177";"885";"282";"1216";"908";"302";"1198";"886";"307"
"Santa Catarina";"Médio completo ou equivalente e superior incompleto";"1823";"1624";"193";"1875";"1609";"261";"1934";"1580";"343";"2021";"1678";"327";"2193";"1746";"434";"2274";"1744";"515"
"Santa Catarina";"Superior completo";"735";"690";"43";"868";"809";"54";"921";"830";"87";"959";"880";"76";"1114";"983";"123";"1147";"997";"142"
"Rio Grande do Sul";"Total";"9096";"7488";"1585";"9103";"7407";"1667";"9140";"7317";"1786";"9247";"7351";"1836";"9308";"7386";"1883";"9256";"7149";"2068"
"Rio Grande do Sul";"Sem instrução e fundamental incompleto ou equivalente";"3333";"2602";"723";"3322";"2538";"769";"3309";"2499";"792";"3113";"2336";"750";"2940";"2195";"729";"2888";"2132";"742"
"Rio Grande do Sul";"Fundamental completo e médio incompleto ou equivalente";"1745";"1370";"370";"1738";"1316";"414";"1747";"1326";"417";"1720";"1289";"417";"1767";"1306";"457";"1710";"1228";"475"
"Rio Grande do Sul";"Médio completo ou equivalente e superior incompleto";"2821";"2404";"410";"2845";"2431";"407";"2836";"2341";"484";"3090";"2524";"552";"3058";"2474";"570";"3161";"2458";"690"
"Rio Grande do Sul";"Superior completo";"1197";"1112";"82";"1198";"1121";"76";"1247";"1152";"93";"1323";"1202";"116";"1543";"1411";"128";"1497";"1332";"161"
"Mato Grosso do Sul";"Total";"2028";"855";"1143";"2062";"893";"1135";"2074";"914";"1119";"2100";"889";"1169";"2169";"905";"1221";"2234";"947";"1243"
"Mato Grosso do Sul";"Sem instrução e fundamental incompleto ou equivalente";"827";"294";"523";"792";"279";"505";"777";"284";"480";"766";"270";"483";"689";"237";"436";"684";"239";"434"
"Mato Grosso do Sul";"Fundamental completo e médio incompleto ou equivalente";"375";"148";"223";"372";"150";"217";"386";"154";"226";"379";"141";"234";"378";"135";"238";"374";"138";"229"
"Mato Grosso do Sul";"Médio completo ou equivalente e superior incompleto";"586";"270";"306";"605";"290";"306";"610";"281";"315";"629";"284";"332";"721";"306";"402";"745";"320";"411"
"Mato Grosso do Sul";"Superior completo";"240";"143";"90";"293";"174";"108";"302";"195";"98";"326";"195";"120";"381";"227";"144";"432";"250";"170"
"Mato Grosso";"Total";"2577";"828";"1732";"2607";"825";"1763";"2697";"823";"1840";"2716";"809";"1874";"2855";"851";"1968";"2916";"908";"1977"
"Mato Grosso";"Sem instrução e fundamental incompleto ou equivalente";"964";"276";"681";"994";"266";"723";"987";"267";"708";"928";"236";"681";"882";"240";"631";"848";"232";"605"
"Mato Grosso";"Fundamental completo e médio incompleto ou equivalente";"542";"148";"391";"519";"136";"379";"535";"153";"376";"543";"141";"395";"575";"141";"428";"589";"150";"433"
"Mato Grosso";"Médio completo ou equivalente e superior incompleto";"781";"260";"517";"772";"262";"503";"817";"240";"565";"855";"267";"579";"982";"289";"682";"1022";"326";"687"
"Mato Grosso";"Superior completo";"290";"144";"143";"321";"161";"158";"358";"163";"191";"391";"165";"220";"415";"182";"227";"457";"199";"253"
"Goiás";"Total";"5269";"1865";"3365";"5375";"1841";"3498";"5455";"1881";"3520";"5536";"1926";"3561";"5798";"2065";"3678";"5856";"2061";"3737"
