estado;instrucao;categoria_ano;populacao;ano;raca_cor
Santa Catarina;Total;preta_parda_2016;750.0;2016;preta_parda
Santa Catarina;Total;total_2016;5698.0;2016;total
Santa Catarina;Total;branca_2017;4867.0;2017;branca
Santa Catarina;Total;preta_parda_2017;906.0;2017;preta_parda
Santa Catarina;Total;total_2017;5791.0;2017;total
Santa Catarina;Total;branca_2018;4770.0;2018;branca
Santa Catarina;Total;preta_parda_2018;1114.0;2018;preta_parda
Santa Catarina;Total;total_2018;5914.0;2018;total
Santa Catarina;Total;branca_2019;4880.0;2019;branca
Santa Catarina;Total;preta_parda_2019;1099.0;2019;preta_parda
Santa Catarina;Total;total_2019;6019.0;2019;total
Santa Catarina;Total;branca_2022;4976.0;2022;branca
Santa Catarina;Total;preta_parda_2022;1285.0;2022;preta_parda
Santa Catarina;Total;total_2022;6301.0;2022;total
Santa Catarina;Total;branca_2023;4996.0;2023;branca
Santa Catarina;Total;preta_parda_2023;1396.0;2023;preta_parda
Santa Catarina;Total;total_2023;6429.0;2023;total
Sergipe;Total;branca_2016;361.0;2016;branca
Sergipe;Total;preta_parda_2016;1337.0;2016;preta_parda
Sergipe;Total;total_2016;1714.0;2016;total
Sergipe;Total;branca_2017;342.0;2017;branca
Sergipe;Total;preta_parda_2017;1380.0;2017;preta_parda
Sergipe;Total;total_2017;1734.0;2017;total
Sergipe;Total;branca_2018;350.0;2018;branca
Sergipe;Total;preta_parda_2018;1351.0;2018;preta_parda
Sergipe;Total;total_2018;1724.0;2018;total
Sergipe;Total;branca_2019;382.0;2019;branca
Sergipe;Total;preta_parda_2019;1367.0;2019;preta_parda
Sergipe;Total;total_2019;1762.0;2019;total
Sergipe;Total;branca_2022;435.0;2022;branca
Sergipe;Total;preta_parda_2022;1357.0;2022;preta_parda
Sergipe;Total;total_2022;1803.0;2022;total
Sergipe;Total;branca_2023;412.0;2023;branca
Sergipe;Total;preta_parda_2023;1359.0;2023;preta_parda
Sergipe;Total;total_2023;1792.0;2023;total
São Paulo;Total;branca_2016;22871.0;2016;branca
São Paulo;Total;preta_parda_2016;12725.0;2016;preta_parda
São Paulo;Total;total_2016;36248.0;2016;total
São Paulo;Total;branca_2017;22228.0;2017;branca
São Paulo;Total;preta_parda_2017;13505.0;2017;preta_parda
São Paulo;Total;total_2017;36352.0;2017;total
São Paulo;Total;branca_2018;21270.0;2018;branca
São Paulo;Total;preta_parda_2018;14495.0;2018;preta_parda
São Paulo;Total;total_2018;36498.0;2018;total
São Paulo;Total;branca_2019;21396.0;2019;branca
São Paulo;Total;preta_parda_2019;14855.0;2019;preta_parda
São Paulo;Total;total_2019;36940.0;2019;total
São Paulo;Total;branca_2022;21943.0;2022;branca
São Paulo;Total;preta_parda_2022;15080.0;2022;preta_parda
São Paulo;Total;total_2022;37766.0;2022;total
São Paulo;Total;branca_2023;21834.0;2023;branca
São Paulo;Total;preta_parda_2023;15475.0;2023;preta_parda
São Paulo;Total;total_2023;38041.0;2023;total
Tocantins;Total;branca_2016;246.0;2016;branca
Tocantins;Total;preta_parda_2016;857.0;2016;preta_parda
Tocantins;Total;total_2016;1107.0;2016;total
Tocantins;Total;branca_2017;235.0;2017;branca
Tocantins;Total;preta_parda_2017;884.0;2017;preta_parda
Tocantins;Total;total_2017;1126.0;2017;total
Tocantins;Total;branca_2018;244.0;2018;branca
Tocantins;Total;preta_parda_2018;896.0;2018;preta_parda
Tocantins;Total;total_2018;1157.0;2018;total
Tocantins;Total;branca_2019;228.0;2019;branca
Tocantins;Total;preta_parda_2019;922.0;2019;preta_parda
